# Oracle Linux 5

## Sustaining Support

Oracle Linux 5 Update 11 Patch (x86_64)	ol5_u11_x86_64_patch	Updated packages published after release of Oracle Linux 5 Update 11 (x86_64)	582

## Exadata

Packages for Oracle Exadata (i386)	el5_exadata_i386_latest	Linux Packages required for Oracle Exadata (i386)	6
Packages for Oracle Exadata (x86_64)	el5_exadata_x86_64_latest	Linux Packages required for Oracle Exadata (x86_64)	7
Exadata release 11.2 Latest (x86_64)	exadata_dbserver_11.2_x86_64_latest	All packages released for Exadata release 11.2 (x86_64), including the very latest updated packages	522
Exadata release 11.2.3.1.0 db server installation packages (x86_64)	exadata_dbserver_11.2.3.1.0_x86_64_base	All packages released on the Exadata release 11.2.3.1.0 (x86_64) installation media. This channel does not contain updates.	458
Exadata release 11.2.3.1.0 Patch (x86_64)	exadata_dbserver_11.2.3.1.0_x86_64_patch	Updated packages published after release of Exadata release 11.2.3.1.0 (x86_64)	22
Exadata release 11.2.3.2.0 db server installation packages (x86_64)	exadata_dbserver_11.2.3.2.0_x86_64_base	All packages released on the Exadata release 11.2.3.2.0 (x86_64) installation media. This channel does not contain updates.	475
Exadata release 11.2.3.2.1 db server installation packages (x86_64)	exadata_dbserver_11.2.3.2.1_x86_64_base	All packages released on the Exadata release 11.2.3.2.1 (x86_64) installation media. This channel does not contain updates.	475
Exadata release 11.2.3.2.2 db server installation packages (x86_64)	exadata_dbserver_11.2.3.2.2_x86_64_base	All packages released on the Exadata release 11.2.3.2.2 (x86_64) installation media. This channel does not contain updates.	475
Exadata release 11.2.3.3.0 db server installation packages (x86_64)	exadata_dbserver_11.2.3.3.0_x86_64_base	All packages released on the Exadata release 11.2.3.3.0 (x86_64) installation media. This channel does not contain updates.	454
Exadata release 11.2.3.3.1 db server installation packages (x86_64)	exadata_dbserver_11.2.3.3.1_x86_64_base	All packages released on the Exadata release 11.2.3.3.1 (x86_64) installation media. This channel does not contain updates.	456
Exadata release 12.1 Latest (x86_64)	exadata_dbserver_12.1_x86_64_latest	All packages released for Exadata release 12.1 (x86_64), including the very latest updated packages	453
Exadata release 12.1.1.1.0 db server installation packages (x86_64)	exadata_dbserver_12.1.1.1.0_x86_64_base	All packages released on the Exadata release 12.1.1.1.0 (x86_64) installation media. This channel does not contain updates.	449
Exadata release 12.1.1.1.1 db server installation packages (x86_64)	exadata_dbserver_12.1.1.1.1_x86_64_base	All packages released on the Exadata release 12.1.1.1.1 (x86_64) installation media. This channel does not contain updates.	448
Exadata release 12.1.1.1.2 db server installation packages (x86_64)	exadata_dbserver_12.1.1.1.2_x86_64_base	All packages released on the Exadata release 12.1.1.1.2 (x86_64) installation media. This channel does not contain updates.	453

# Oracle Linux 6

## Sustaining Support

Oracle Linux 6 Latest (i386)	ol6_i386_latest	All packages released for Oracle Linux 6 (i386) including the latest errata packages. (i386)	5105
Oracle Linux 6 Latest (x86_64)	ol6_x86_64_latest	All packages released for Oracle Linux 6 (x86_64) including the latest errata packages. (x86_64)	6798

Unbreakable Enterprise Kernel for Oracle Linux 6 (i386)	ol6_i386_UEK_base	Unbreakable Enterprise Kernel for Oracle Linux 6 (i386) released on the install media.	15
Unbreakable Enterprise Kernel for Oracle Linux 6 (x86_64)	ol6_x86_64_UEK_base	Unbreakable Enterprise Kernel for Oracle Linux 6 (x86_64) released on the install media.	15
Latest Unbreakable Enterprise Kernel for Oracle Linux 6 (i386)	ol6_i386_UEK_latest	Latest Unbreakable Enterprise Kernel packages for Oracle Linux 6 (i386)	15
Latest Unbreakable Enterprise Kernel for Oracle Linux 6 (x86_64)	ol6_x86_64_UEK_latest	Latest Unbreakable Enterprise Kernel packages for Oracle Linux 6 (x86_64)	15
Dtrace for Oracle Linux 6 (x86_64) - Latest	ol6_x86_64_Dtrace_latest	Latest packages required for Dtrace on Oracle Linux 6 (x86_64) with the Unbreakable Enterprise Kernel Release 2	12
Oracle Linux 6 Dtrace Userspace Tools (x86_64) - Latest	ol6_x86_64_Dtrace_userspace_latest	The latest Dtrace userspace tools for Unbreakable Enterprise Kernel Release 3 (UEKR3) on Oracle Linux 6 (x86_64).	2
OFED supporting tool packages for Unbreakable Enterprise Kernel on Oracle Linux 6 (x86_64)	ol6_x86_64_ofed_UEK	Latest OpenFabrics Enterprise Distribution (OFED) supporting tools for the Unbreakable Enterprise Kernel (UEK) on Oracle Linux 6 (x86_64).	38

Unbreakable Enterprise Kernel Release 3 for Oracle Linux 6 (x86_64) - Latest	ol6_x86_64_UEKR3_latest	Latest packages for Unbreakable Enterprise Kernel Release 3 for Oracle Linux 6 (x86_64)	166

Unbreakable Enterprise Kernel Release 4 for Oracle Linux 6 - ELS (x86_64)	ol6_x86_64_UEKR4_ELS	Latest Unbreakable Enterprise Kernel Release 4 for Oracle Linux 6 - ELS (x86_64)	6
Unbreakable Enterprise Kernel Release 4 for Oracle Linux 6 (x86_64)	ol6_x86_64_UEKR4	Latest packages for Unbreakable Enterprise Kernel Release 4 for Oracle Linux 6 (x86_64)	33
Dtrace Userspace Tools (x86_64) for UEKR4 on Oracle Linux 6	ol6_x86_64_UEKR4_DTrace_userspace	The latest Dtrace userspace tools for Oracle Linux 6 (x86_64) with Unbreakable Enterprise Kernel Release 4 (UEKR4).	2
Unbreakable Enterprise Kernel Release 4 for Oracle Linux 6 (x86_64) - Archive	ol6_x86_64_UEKR4_archive	Archived packages for Unbreakable Enterprise Kernel Release 4 for Oracle Linux 6 (x86_64)	57
OFED supporting tool packages for Unbreakable Enterprise Kernel Release 4 on Oracle Linux 6 (x86_64)	ol6_x86_64_UEKR4_OFED	Latest OpenFabrics Enterprise Distribution (OFED) supporting tools for the Unbreakable Enterprise Kernel Release 4 (UEK) on Oracle Linux 6 (x86_64).	30

Red Hat compatible kernel with Oracle provided fixes for Oracle Linux 6 (i386)	ol6_i386_MODRHCK	Latest Red Hat compatible kernel with Oracle provided fixes for Oracle Linux 6 (i386).	10
Red Hat compatible kernel with Oracle provided fixes for Oracle Linux 6 (x86_64)	ol6_x86_64_MODRHCK	Latest Red Hat compatible kernel with Oracle provided fixes for Oracle Linux 6 (x86_64).	11

Ksplice for Oracle Linux 6 (i386)	ol6_i386_ksplice	Oracle Ksplice clients, updates, and dependencies for Oracle Linux 6 (i386).	343
Ksplice for Oracle Linux 6 (x86_64)	ol6_x86_64_ksplice	Oracle Ksplice clients, updates, and dependencies for Oracle Linux 6 (x86_64).	674
Ksplice aware userspace packages for Oracle Linux 6 - ELS (x86_64)	ol6_x86_64_userspace_ksplice_ELS	Latest packages for Ksplice aware userspace packages for Oracle Linux 6 (x86_64) - ELS	19
Ksplice aware userspace packages for Oracle Linux 6 (x86_64)	ol6_x86_64_userspace_ksplice	Latest packages for Ksplice aware userspace packages for Oracle Linux 6 (x86_64).	20

Oracle Linux 6 Add ons (i386)	ol6_i386_addons	Oracle Linux 6 Add ons (i386)	25
Oracle Linux 6 Add ons (x86_64)	ol6_x86_64_addons	Oracle Linux 6 Add ons (x86_64)	80
Oracle Software Collections for Oracle Linux 6 (x86_64)	ol6_x86_64_SoftwareCollections	Latest Oracle Software Collections 3.0 packages for Oracle Linux 6 (x86_64).	5214
Oracle Linux 6 software for SAP	ol6_x86_64_SAP_addons	Packages required for SAP software to run on Oracle Linux 6	2
Packages for creating test and development environments for Oracle Linux 6 (i386)	ol6_i386_developer	Latest packages for creating test and development environments - Oracle Linux 6 (i386)	2
Packages for creating test and development environments for Oracle Linux 6 (x86_64)	ol6_x86_64_developer	Latest packages for creating test and development environments - Oracle Linux 6 (x86_64)	15

Spacewalk Client 2.6 for Oracle Linux 6 (i386)	ol6_i386_spacewalk26_client	All Spacewalk Client 2.6 packages released for Oracle Linux 6 (i386).	28
Spacewalk Client 2.6 for Oracle Linux 6 (x86_64)	ol6_x86_64_spacewalk26_client	All Spacewalk Client 2.6 packages released for Oracle Linux 6 (x86_64).	28
Spacewalk Client 2.7 for Oracle Linux 6 (i386)	ol6_i386_spacewalk27_client	All Spacewalk Client 2.7 packages released for Oracle Linux 6 (i386).	28
Spacewalk Client 2.7 for Oracle Linux 6 (x86_64)	ol6_x86_64_spacewalk27_client	All Spacewalk Client 2.7 packages released for Oracle Linux 6 (x86_64).	28
Spacewalk Server 2.6 for Oracle Linux 6 (x86_64)	ol6_x86_64_spacewalk26_server	All Spacewalk Server 2.6 packages released for Oracle Linux 6 (x86_64).	230
